,State,Theater,Address,XD,Loungers,Seating,Menu,Alcohol,Total,Food/Bar,lats,longs
0,Alaska,Century 16 and XD,"301 East 36th Ave Anchorage, AK 99503",1,,1,,,1,,61.1891721,-149.8790607
1,Alabama,Cinemark Monaco,"370 The Bridge Street Huntsville, AL 35806",1,1,1,1,1,1,1,34.7146849,-86.6732822
2,Arkansas,Cinemark Tinseltown USA,"17314 I-30 Benton, AR 72015",,,1,,,1,,34.581282,-92.5839206
3,Arkansas,Cinemark Towne Centre and XD,"201 Skyline Drive, Conway AR 72032",1,,1,,,1,,35.1109143,-92.4293164
4,Arkansas,Cinemark Colonel Glenn 18 and XD,"18 Colonel Glenn Plaza Drive, Little Rock AR 72210",1,1,1,,1,1,1,34.7086813,-92.4062627
5,California,Century Cinema,"41 Tamal Vista Blvd., Corte Madera, CA 94925",,,,,,1,,37.9322522,-122.5175496
6,California,Century 20 Daly City and XD,"1901 Junipero Serra Blvd., Daly City, CA 94015",1,,1,,,1,,37.7022745,-122.470544
7,California,Century Blackhawk Plaza,"4175 Blackhawk Plaza Circle, Danville CA 94526",,1,,1,1,1,1,37.799266,-121.917659
8,California,Century at Pacific Commonds and XD,"43917 Pacific Commons Blvd., CA 94538",1,,1,1,1,1,,37.4997441,-121.9710392
9,California,Century at Hayward,"1069 B Street, Hayward CA 94541",,,,,,1,,37.6734647,-122.0812889
10,California,Century Larkspur,"500 Larkspur Landing Cr,., Larkspur CA 94939",,,,,,1,,37.947292,-122.51208
11,California,CIneArts Sequoia,"25 Throckmorton Ave., Mill Valley CA 94941",,,1,,,1,,37.9063597,-122.5468639
12,California,Century 20 Great Mall and XD,"1010 Great Mall Drive, Milpitas CA 95035",1,1,,,,1,,37.4181699,-121.8990008
13,California,Century Cinema 16,"1500 N. Shoreline Blvd., Mountain View CA 94043",,1,1,1,1,1,1,37.4144525,-122.0811702
14,California,Century Napa Valley and XD,"195 Gasser Drive, Napa CA 94559",1,,1,1,1,1,,38.2829225,-122.2799721
15,California,Century Rowland Plaza,"44 Rowland Way, Novato CA 94945",,1,,,,1,,38.0949633,-122.55662
16,California,CineArts at Palo Alto Square,"3000 El Camino Real, Palo Alto CA 94306",,,,,,1,,37.4213127,-122.1415652
17,California,Century 16 Downtown Pleasant Hill and XD,"125 Crescent Drive, Pleasant Hill CA 64523",1,,1,,,1,,37.9444233,-122.0619576
18,California,Redwood Downtown 20 and XD,"825 Middlefield Rd., Redwood City, CA 94063",1,,1,,,1,,37.4861822,-122.2290148
19,California,Century Hilltop 16,"3200 Klose Way, Richmond CA 94806",,,1,,,1,,37.9819362,-122.3197865
20,California,Century at Tanforan and XD,"The Shops at Tanforan, San Bruno CA 94066",1,,1,,,1,,37.6363503,-122.4178433
21,California,Century San Francisco Centre 9 and XD,"845 Market St., San Francisco CA 94103",1,1,1,1,1,1,1,37.784219,-122.406176
22,California,CineArts at the Empire,"85 West Portal Ave., San Francisco CA 94127",,,,,,1,,37.7398064,-122.4665037
23,California,Century 20 Oakridge and XD,"925 Blossom Hill Rd., San Jose CA 95123",1,,1,,,1,,37.2519376,-121.8630212
24,California,CineArts Santana Row,"3088 Olsen Drive, San Jose CA 95128",,1,1,,,1,,37.3190441,-121.9483074
25,California,Century 16 Bayfair Mall,"15555 East 14th Street, San Leandro CA 94578",,,1,,,1,,37.7003032,-122.124742
26,California,Century 12 San Mateo,"320 East 2nd Avenue, San Mateo CA 94010",,,1,,,1,,37.566118,-122.322101
27,California,Century Northgate,"7000 Northgate Drive, San Rafeal CA 94903",,,,,,1,,38.0027926,-122.5448656
28,California,Century Regency,"280 Smith Ranch Road, San Rafeal CA 94903",,,,,,1,,38.0187094,-122.5319056
29,California,Cinemark Movies 14,"3300 N. Naglee Rd., Tracy CA 95376",,1,1,,,1,,37.7609357,-121.4591292
30,California,Century 25 Union Landing and XD,"32100 Union Landing, Union City CA 94587",1,1,1,,1,1,1,37.5992819,-122.0676188
